DayID,hour_of_day,T_out
1,0:00,2.9
1,1:00,2.9
1,2:00,2.7
1,3:00,2.5
1,4:00,2.3
1,5:00,2
1,6:00,1.8
1,7:00,1.6
1,8:00,1.7
1,9:00,1.9
1,10:00,2.1
1,11:00,2.3
1,12:00,2.4
1,13:00,2.6
1,14:00,2.6
1,15:00,2.5
1,16:00,2.6
1,17:00,2.5
1,18:00,2.4
1,19:00,2.4
1,20:00,2.3
1,21:00,2.2
1,22:00,2
1,23:00,1.7
2,0:00,1.7
2,1:00,0.7
2,2:00,-0.6
2,3:00,0.4
2,4:00,-0.8
2,5:00,-1.3
2,6:00,-1.9
2,7:00,-2
2,8:00,-1.1
2,9:00,0.1
2,10:00,1.5
2,11:00,2.8
2,12:00,4
2,13:00,4.8
2,14:00,5.6
2,15:00,5.4
2,16:00,4.9
2,17:00,4
2,18:00,2.3
2,19:00,1.2
2,20:00,0.2
2,21:00,0
2,22:00,0.2
2,23:00,0.4
3,0:00,0.7
3,1:00,1.3
3,2:00,1.6
3,3:00,1.4
3,4:00,0.8
3,5:00,0.6
3,6:00,0.3
3,7:00,0.1
3,8:00,0.2
3,9:00,0.7
3,10:00,2
3,11:00,3.5
3,12:00,4.8
3,13:00,5.9
3,14:00,6.5
3,15:00,6.5
3,16:00,6
3,17:00,5
3,18:00,3.5
3,19:00,2.9
3,20:00,2.4
3,21:00,2.5
3,22:00,2.3
3,23:00,1.8
4,0:00,1.4
4,1:00,0.4
4,2:00,0.4
4,3:00,-0.6
4,4:00,-0.5
4,5:00,0.3
4,6:00,-0.2
4,7:00,-0.4
4,8:00,0.3
4,9:00,1
4,10:00,1.4
4,11:00,2.1
4,12:00,3.2
4,13:00,4
4,14:00,4.2
4,15:00,4.1
4,16:00,3.7
4,17:00,2.8
4,18:00,0.2
4,19:00,1.2
4,20:00,-0.6
4,21:00,-1.6
4,22:00,-1.5
4,23:00,-1
5,0:00,-0.3
5,1:00,-0.2
5,2:00,-0.4
5,3:00,-0.7
5,4:00,-0.8
5,5:00,-1.2
5,6:00,-0.8
5,7:00,-0.9
5,8:00,-0.2
5,9:00,0.6
5,10:00,1.4
5,11:00,2.1
5,12:00,2.8
5,13:00,2.2
5,14:00,2.3
5,15:00,2.2
5,16:00,2.1
5,17:00,1.6
5,18:00,0.7
5,19:00,1
5,20:00,0.9
5,21:00,0.7
5,22:00,0.4
5,23:00,0.3
6,0:00,0.2
6,1:00,-0.5
6,2:00,-1
6,3:00,-1.3
6,4:00,-1.9
6,5:00,-2
