run,E_heat_kWh,E_cool_kWh,E_plug_kWh,E_light_kWh,E_total_kWh,CO2_exceed_hours,mean_occupancy,E_per_capita
0,44710.094822947365,0.0,705.0,540.925,45956.01982294737,0.0,23.067708333333336,1992.2230313853904
1,43936.922925052626,0.0,718.525,552.025,45207.47292505263,0.0,23.443655303030305,1928.345743899807
2,45373.90044673684,0.0,733.0999999999999,563.025,46670.02544673684,0.0,23.759706439393938,1964.250929016415
3,44188.74750947369,0.0,709.725,544.0999999999999,45442.572509473684,0.0,21.013967803030305,2162.4936773206946
4,45014.44576947368,0.0,704.4,540.4499999999999,46259.29576947368,0.0,22.178030303030305,2085.8162396483435
5,43409.880914736845,0.0,721.675,554.275,44685.83091473684,0.0,22.67471590909091,1970.7338823513585
6,44340.30363094737,0.0,741.125,568.9499999999999,45650.378630947365,0.0,23.286458333333336,1960.3830680254737
7,45160.60670421053,0.0,727.275,558.5,46446.38170421052,0.0,24.821022727272727,1871.2517294130828
8,44413.96137178947,0.0,702.425,539.275,45655.661371789465,0.0,23.216145833333332,1966.5478369901464
9,44361.32755810526,0.0,745.375,572.5,45679.20255810526,0.0,22.292140151515152,2049.1169644382726
10,44241.96071473684,0.0,742.95,570.525,45555.43571473684,0.0,25.120265151515152,1813.4934261228975
11,44923.82616968421,0.0,734.15,563.4749999999999,46221.45116968421,0.0,27.083333333333336,1706.6381970344937
12,43818.24305936842,0.0,745.3,572.275,45135.818059368416,0.0,22.94128787878788,1967.4491814865453
13,44398.54933010526,0.0,740.7,568.8499999999999,45708.09933010526,0.0,23.44436553030303,1949.641131086496
14,44356.158553894726,0.0,713.6999999999999,547.4749999999999,45617.33355389473,0.0,22.395833333333336,2036.8669865925085
15,45228.59241389473,0.0,730.6999999999999,560.425,46519.71741389473,0.0,24.5859375,1892.127050835248
16,44163.551143578945,0.0,722.0749999999999,554.5749999999999,45440.201143578946,0.0,23.05563446969697,1970.893544625848
17,44034.9313368421,0.0,723.25,555.275,45313.4563368421,0.0,23.144886363636363,1957.817187991705
